DATE,START TIME (24HR),SITE,POINT,OBSERVER,BOUT,SKY,WIND (MPH),NOISE,NOISE_DIST (M),NOISE_DIR,TEMP (F),WATER_DEPTH (CM),SPECIES_CODE,COMMON_NAME,"DISTANCE_BAND (1 = <10, 2 = 10<25, 3 = 25 < 50, 4 = 50 < 100",DISTANCE (M),TIME_INTERVAL ,DETECTION_TYPE,COMMENTS,Entered By:,Proofed:
4/29/2023,6:35,Hiwassee,A1,RLB,1,3,0,0,NA,NA,58,0,SORA,Sora,1,NA,1,A,,HH,
4/29/2023,6:35,Hiwassee,A1,RLB,1,3,0,0,NA,NA,58,0,AMCO,American coot,3,NA,9,A,,HH,
4/29/2023,7:34,Hiwassee,B1,HH,1,0,0,1,NA,NA,60.2,0,NA,NA,NA,NA,NA,NA,No bird detected,HH,
4/29/2023,7:53,Hiwassee,B2,RLB,1,0,0,1,NA,NA,59.9,34,NA,NA,NA,NA,NA,NA,No birds detected ,HH,
4/29/2023,8:19,Hiwassee,C1,HH,1,0,0,0,NA,NA,60.2,12,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/29/2023,8:41,Hiwassee,C2,RLB,1,0,0,0,NA,NA,67.5,28,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/30/2023,6:51,Cordell Hull,A1,RLB,1,1,0,0,NA,NA,60.7,52.324,AMCO,American coot,2,NA,4,A,,HH,
4/30/2023,7:02,Cordell Hull,A2,HH,1,1,0,0,NA,NA,58.2,24,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/30/2023,5:43,Cordell Hull,B1,HH,1,3,0,0,NA,NA,62.9,35,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/30/2023,5:58,Cordell Hull,B2,HH,1,3,0,0,NA,NA,57.9,13.97,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/30/2023,8:14,Cordell Hull,C1,HH,1,0,2.8,0,NA,NA,52.5,50,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/30/2023,8:20,Cordell Hull,C2,RLB,1,0,4.1,0,NA,NA,65,34.29,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/6/2023,6:14,West Sandy,A1,HH,2,2,0,0,NA,NA,59,11.43,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/6/2023,6:47,West Sandy,A2,RLB,2,2,0,0,NA,NA,62.2,7.62,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/6/2023,7:29,West Sandy,A3,HH,2,2,0,0,NA,NA,62.1,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/7/2023,5:43,Tennessee National,C1,HH,2,2,2.3,0,NA,NA,71.7,5.08,SORA,Sora,3,31,1,A,,HH,
5/7/2023,5:43,Tennessee National,C1,HH,2,2,2.3,0,NA,NA,71.7,5.08,SORA,Sora,1,10,6,A,,HH,
5/7/2023,5:43,Tennessee National,C1,HH,2,2,2.3,0,NA,NA,71.7,5.08,SORA,Sora,3,26,6,A,,HH,
5/7/2023,5:38,Tennessee National,C2,RLB,2,2,4.3,0,NA,NA,71.3,10,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/7/2023,6:15,Tennessee National,C3,HH,2,2,0.6,0,NA,NA,73.3,20.32,SORA,Sora,2,12,5,A,,HH,
5/7/2023,6:15,Tennessee National,C3,HH,2,2,0.6,0,NA,NA,73.3,20.32,SORA,Sora,4,80,7,A,,HH,
5/7/2023,6:15,Tennessee National,C3,HH,2,2,0.6,0,NA,NA,73.3,20.32,SORA,Sora,4,100,10,A,,HH,
5/7/2023,6:45,Tennessee National,D1,HH,2,1,0.6,0,NA,NA,70.2,22.86,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/7/2023,6:50,Tennessee National,D2,RLB,2,1,2.2,0,NA,NA,71.8,23,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/7/2023,7:20,Tennessee National,D3,RLB,2,1,0,0,NA,NA,77.1,35,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/8/2023,6:15,Cross Creeks,A1,RLB,2,2,0,0,NA,NA,72.1,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/8/2023,5:50,Cross Creeks,A2,HH,2,2,0,0,NA,NA,70.5,2,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/8/2023,5:50,Cross Creeks,A3,HH,2,2,0,0,NA,NA,69.6,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/8/2023,6:43,Cross Creeks,B1,HH,2,2,0,0,NA,NA,70.3,25,AMCO,American coot,4,50,5,A,,HH,
5/8/2023,6:47,Cross Creeks,C1,RLB,2,2,0,0,NA,NA,71.6,38.1,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/8/2023,7:16,Cross Creeks,D1,HH,2,2,0,0,NA,NA,71,15,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/14/2023,6:29,Cordell Hull,A1,HH,2,3,0,0,NA,NA,65.2,15.24,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/14/2023,6:40,Cordell Hull,A2,RLB,2,3,0,0,NA,NA,66,74,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/14/2023,5:30,Cordell Hull,B1,RLB,2,3,0,0,NA,NA,70.2,29,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/14/2023,5:43,Cordell Hull,B2,HH,2,3,0,0,NA,NA,69.8,9.652,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/14/2023,7:40,Cordell Hull,C1,RLB,2,3,0,1,NA,NA,69,42,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/14/2023,7:50,Cordell Hull,C2,HH,2,3,0,0,NA,NA,71,17.78,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/15/2023,7:30,Yellow Creek,A1,RLB,2,3,0,0,NA,NA,70.2,20,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/15/2023,7:42,Yellow Creek,A2,HH,2,3,0,0,NA,NA,68.8,24.13,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/15/2023,6:26,Chickamauga ,A1,RLB,2,3,0,0,NA,NA,69.5,43.18,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/16/2023,7:32,Cowan Marsh,A1,HH,2,0,0,0,NA,NA,67,74,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/16/2023,7:30,Cowan Marsh,A2,RLB,2,1,0,0,NA,NA,74.2,71.374,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/15/2023,18:14,Armstrong Ferry,A1,HH,2,5,0.7,1,NA,NA,72.1,43,NA,NA,NA,NA,NA,NA,Noise from frogs and rain.,HH,
5/15/2023,18:16,Armstrong Ferry,A2,RLB,2,4,4.2,2,NA,NA,74.5,43.18,NA,NA,NA,NA,NA,NA,Noise from rain,HH,
5/15/2023,18:56,Armstrong Ferry,B1,HH,2,4,0,0,NA,NA,76.7,170.18,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/15/2023,18:50,Armstrong Ferry,B2,RLB,2,2,0,1,NA,NA,73.4,27.7,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/15/2023,19:11,Armstrong Ferry,B3,RLB,2,2,2,3,NA,NA,73.8,21.5,NA,NA,NA,NA,NA,NA,Noise from fisherman talking,HH,
5/15/2023,19:45,Armstrong Ferry,C1,HH,2,5,0,0,NA,NA,76.7,74,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/17/2023,6:24,Hiwassee,A1,HH,2,2,0.7,0,NA,NA,73.7,30,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/17/2023,7:10,Hiwassee,B1,RLB,2,2,0,0,NA,NA,68.8,50,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/17/2023,7:31,Hiwassee,B2,HH,2,2,0,0,NA,NA,70,63,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/17/2023,7:52,Hiwassee,C1,RLB,2,1,1.9,0,NA,NA,69.1,43,LEBI,Least bittern,4,100,8,A,First bittern!,HH,
5/17/2023,8:14,Hiwassee,C2,HH,2,1,0,0,NA,NA,70.2,42,LEBI,Least bittern,4,100,1,A,"Different indiv than LEBI at C1, calling to each other",HH,
5/23/2023,6:03,West Sandy,A1,RLB,3,0,0,0,NA,NA,65.2,9,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/23/2023,6:45,West Sandy,A2,HH,3,0,0,0,NA,NA,66.5,42,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/23/2023,7:38,West Sandy,A3,RLB,3,0,0,0,NA,NA,70.4,28,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/24/2023,5:24,Tennessee National,C2,HH,3,1,0,0,NA,NA,66.8,22.35,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/24/2023,7:03,Tennessee National,D2,HH,3,3,1.4,0,NA,NA,66,12.7,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/24/2023,7:41,Tennessee National,D3,HH,3,2,1.9,0,NA,NA,66.6,17.78,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/24/2023,7:00,Tennessee National,D1,RLB,3,1,0,0,NA,NA,62,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/24/2023,5:53,Tennessee National,C1,RLB,3,1,0,0,NA,NA,62,25,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/24/2023,6:24,Tennessee National,C3,RLB,3,2,0,0,NA,NA,59,38,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/25/2023,6:02,Cross Creeks,A1,HH,3,3,0,0,NA,NA,63,4,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/25/2023,5:27,Cross Creeks,A2,RLB,3,3,0,0,NA,NA,66.4,2,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/25/2023,5:35,Cross Creeks,A3,HH,3,3,0,0,NA,NA,63,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/25/2023,6:30,Cross Creeks,B1,RLB,3,1,0,0,NA,NA,64.2,32,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/25/2023,6:30,Cross Creeks,C1,HH,3,1,0,0,NA,NA,64.5,22.86,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/25/2023,6:56,Cross Creeks,D1,RLB,3,2,0,0,NA,NA,64,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/31/2023,6:30,Cordell Hull,A1,RLB,3,0,0,0,NA,NA,63.5,35.56,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/31/2023,6:28,Cordell Hull,A2,HH,3,0,1.1,0,NA,NA,63,35.56,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/31/2023,5:23,Cordell Hull,B1,HH,3,3,0,0,NA,NA,63,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/31/2023,5:30,Cordell Hull,B2,RLB,3,0,0,0,NA,NA,65,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/31/2023,7:35,Cordell Hull,C1,HH,3,0,0,0,NA,NA,66.8,20,NA,NA,NA,NA,NA,NA,No birds detected,HH,
5/31/2023,7:42,Cordell Hull,C2,RLB,3,0,0,0,NA,NA,67.6,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,6:25,Chickamauga ,A1,HH,3,2,0,0,NA,NA,70,52,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,7:28,Yellow Creek,A1,HH,3,2,0,0,NA,NA,70,4,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,7:40,Yellow Creek,A2,RLB,3,2,0,0,NA,NA,70,48.26,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/2/2023,7:35,Cowan Marsh,A1,RLB,3,0,0,1,NA,NA,72.9,52.07,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/2/2023,7:33,Cowan Marsh,A2,HH,3,0,0.9,0,NA,NA,72.5,76,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,19:27,Armstrong Ferry,A1,RLB,3,0,0,1,NA,NA,78.3,50.8,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,19:33,Armstrong Ferry,A2,HH,3,0,0,0,NA,NA,80.9,145,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,20:09,Armstrong Ferry,B1,RLB,3,0,0,0,NA,NA,76.2,67.31,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,20:00,Armstrong Ferry,B2,HH,3,0,0,0,NA,NA,83.8,165,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,20:23,Armstrong Ferry,B3,HH,3,0,0,0,NA,NA,80.7,165,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/1/2023,18:50,Armstrong Ferry,C1,RLB,3,0,0,0,NA,NA,84.1,60,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/3/2023,6:00,Hiwassee,A1,RLB,3,3,0,0,NA,NA,65.3,33.02,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/3/2023,9:16,Hiwassee,B1,HH,3,0,0.6,0,NA,NA,71,48,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/3/2023,9:35,Hiwassee,B2,RLB,3,0,0,0,NA,NA,76.9,65,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/3/2023,9:56,Hiwassee,C1,HH,3,0,0.6,0,NA,NA,77,34,NA,NA,NA,NA,NA,NA,No birds detected,HH,
6/3/2023,10:11,Hiwassee,C2,RLB,3,0,0,0,NA,NA,81.5,40,NA,NA,NA,NA,NA,NA,No birds detected,HH,
