DATE,START TIME (24HR),SITE,POINT,OBSERVER,BOUT,SKY,WIND (MPH),NOISE,NOISE_DIST (M),NOISE_DIR,TEMP (F),WATER_DEPTH (CM),SPECIES_CODE,COMMON_NAME,"DISTANCE_BAND (1 = <10, 2 = 10<25, 3 = 25 < 50, 4 = 50 < 100",DISTANCE (M),TIME_INTERVAL ,DETECTION_TYPE,COMMENTS,Entered,Proofed
4/18/2022,6:18,Bogota,A1,HH,1,2,10,2,NA,NA,45,20.32,NA,NA,NA,NA,NA,NA,Wind sound disturbance; no detections,CG,HH
4/18/2022,6:50,Bogota,A2,HH,1,1,11,1,NA,NA,45,16.256,NA,NA,NA,NA,NA,NA,Wind sound disturbance; no detections,CG,HH
4/18/2022,7:02,Bogota,A3,MB,1,0,2.1,0,NA,NA,45,24.892,NA,NA,NA,NA,NA,NA,2 pied-billed grebes seen before survey; no detections,CG,HH
4/24/2022,7:03,Lake Isom,A1,MB,1,0,10,0,NA,NA,71,113,AMCO,American Coot,5,182.88,5,A,3 American coots flushed before survey,CG,HH
4/24/2022,6:43,Lake Isom,A2,HH,1,1,10,0,NA,NA,71,113,AMCO,American Coot,2,22,7,A,Water depth taken from A1,CG,HH
4/24/2022,6:43,Lake Isom,A2,HH,1,1,10,0,NA,NA,71,113,AMCO,American Coot,4,97,10,V,Water depth taken from A2,CG,HH
4/24/2022,6:43,Lake Isom,A2,HH,1,1,10,0,NA,NA,71,113,AMCO,American Coot,4,97,10,V,Water depth taken from A3,CG,HH
4/24/2022,6:43,Lake Isom,A2,HH,1,1,10,0,NA,NA,71,113,PBGR,Pied-Billed Grebe,5,200,,A,Water depth taken from A4,CG,HH
4/24/2022,6:38,Lake Isom,A3,MB,1,1,10,0,NA,NA,71,137,AMCO,American Coot,4,91.44,8,A,Wind sound dusturbance,CG,HH
4/24/2022,6:38,Lake Isom,A3,MB,1,1,10,0,NA,NA,71,137,PBGR,Pied-Billed Grebe,4,54.864,9,A,Wind sound disturbance,CG,HH
4/24/2022,18:02,Gooch,A1,HH,1,1,8,0,NA,NA,79,76,NA,NA,NA,NA,NA,NA,Possible least bittern >200m; no detections,CG,HH
4/24/2022,17:43,Gooch,A2,MB,1,1,8,0,NA,NA,75,118,NA,NA,NA,NA,NA,NA,Boat passed at minute 7-10; no detections,CG,HH
4/24/2022,17:20,Gooch,A3,HH,1,1,12,0,NA,NA,79,87,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/26/2022,8:20,Reelfoot,A1,MB,1,0,8,0,NA,NA,50,64,AMCO,American Coot,3,28.3464,8,V,,CG,HH
4/26/2022,7:55,Reelfoot,A2,HH,1,0,4,0,NA,NA,50,96,AMCO,American Coot,3,47.5488,8,A,,CG,HH
4/26/2022,8:54,Reelfoot,A3,HH,1,0,0,0,NA,NA,50,65,SORA,Sora,4,88.6968,10,A,,CG,HH
4/25/2022,7:15,Reelfoot,B1,HH,1,2,0,0,NA,NA,58,55,SORA,Sora,4,8.2296,4,V,,CG,HH
4/25/2022,7:34,Reelfoot,B2,MB,1,2,7,0,NA,NA,57,68,LEBI,Least Bittern,5,200,1,A,,CG,HH
4/25/2022,7:50,Reelfoot,B3,HH,1,2,7,0,NA,NA,57,102,LEBI,Least Bittern,5,200,1,A,,CG,HH
4/25/2022,8:09,Reelfoot,C1,MB,1,2,0,0,NA,NA,57,94,AMCO,American Coot,4,68.58,3,A,Coots seen 100+ meters,CG,HH
4/25/2022,8:27,Reelfoot,C2,HH,1,2,6,0,NA,NA,58,62,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/25/2022,8:45,Reelfoot,C3,MB,1,2,6,0,NA,NA,58,102,AMCO,American Coot,2,21.0312,5,A,,CG,HH
4/25/2022,6:37,Reelfoot,D1,HH,1,0,6,0,NA,NA,48,88,AMCO,American Coot,2,18.288,1,V,,CG,HH
4/25/2022,6:37,Reelfoot,D1,HH,1,0,6,0,NA,NA,48,88,LEBI,Least Bittern,3,45.72,4,A,,CG,HH
4/25/2022,6:37,Reelfoot,D1,HH,1,0,6,0,NA,NA,48,88,AMCO,American Coot,2,13.716,9,A,,CG,HH
4/26/2022,6:18,Reelfoot,D2,MB,1,0,6,0,NA,NA,48,145,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/26/2022,6:57,Reelfoot,D3,MB,1,0,6,0,NA,NA,49,90,SORA,Sora,4,67,5,A,,CG,HH
4/26/2022,6:57,Reelfoot,D3,MB,1,0,6,0,NA,NA,49,90,AMCO,American Coot,4,52,10,A,,CG,HH
4/26/2022,6:57,Reelfoot,E1,HH,1,1,10,0,NA,NA,70,21.5,AMCO,American Coot,3,49,1,V,,CG,HH
4/26/2022,6:57,Reelfoot,E1,HH,1,1,10,0,NA,NA,70,21.5,AMCO,American Coot,3,49,1,V,,CG,HH
4/26/2022,6:57,Reelfoot,E1,HH,1,1,10,0,NA,NA,70,21.5,AMCO,American Coot,3,49,1,V,,CG,HH
4/26/2022,6:57,Reelfoot,E1,HH,1,1,10,0,NA,NA,70,21.5,AMCO,American Coot,3,49,1,V,,CG,HH
4/26/2022,6:57,Reelfoot,E1,HH,1,1,10,0,NA,NA,70,21.5,AMCO,American Coot,4,100,8,V,,CG,HH
5/2/2022,6:54,Tigrett,A1,MB,2,0,1.4,0,NA,NA,53,38.1,NA,NA,NA,NA,NA,NA,Flushed a sora before survey; heard pied-billed grebes at 68.58 meters before survey; no detections,CG,HH
5/2/2022,6:21,Tigrett,A2,MB,2,0,0.7,0,NA,NA,53,50.8,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/1/2022,6:19,Tigrett,A3,HH,2,1,0,0,NA,NA,64.7,36,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/2/2022,8:23,Parker Branch,A1,HH,2,1,0,0,NA,NA,61,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/2/2022,8:18,Parker Branch,A2,MB,2,0,2.1,0,NA,NA,61,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/3/2022,5:58,Lower Hatchie,A1,MB,2,2,2.5,0,NA,NA,64,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/3/2022,6:26,Lower Hatchie,A3,MB,2,2,2.3,0,NA,NA,64,3.81,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/5/2022,6:43,Bogota,A3,HH,2,2,1.2,0,NA,NA,63.4,5.08,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/11/2022,6:27,Lake Isom,A1,HH,2,0,0,0,NA,NA,77.9,88,AMCO,American Coot,3,26,4,A,,CG,HH
5/11/2022,6:27,Lake Isom,A1,HH,2,0,0,0,NA,NA,77.9,88,AMCO,American Coot,3,26,4,A,,CG,HH
5/11/2022,5:58,Lake Isom,A2,HH,2,0,0.6,0,NA,NA,74.8,90,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/11/2022,6:55,Lake Isom,A3,HH,2,0,0,0,NA,NA,78.2,88,NA,NA,NA,NA,NA,NA,Pied-billed grebe >500 meters away; no detections,CG,HH
5/11/2022,18:47,Gooch,A1,HH,2,0,0,2,NA,NA,86.7,100,NA,NA,NA,NA,NA,NA,Boat music sound disturbance minute 2; boat traphic sound disturbance at minute 3-5; no detections ,CG,HH
5/11/2022,18:30,Gooch,A2,HH,2,0,0,2,NA,NA,86.4,119,SORA,Sora,4,85.9536,4,A,Boat traffic sound disturbance minute 3-4; tornado siren sound disturbance minute 6-10; frog sound disturbance,CG,HH
5/11/2022,18:05,Gooch,A3,HH,2,0,2.5,0,NA,NA,84.1,92,NA,NA,NA,NA,NA,NA,,CG,HH
5/12/2022,8:16,Reelfoot,A1,"HH, CG",2,0,0,0,NA,NA,82.5,36,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/12/2022,7:57,Reelfoot,A2,"HH, CG",2,0,0,0,NA,NA,77,75,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/12/2022,8:40,Reelfoot,A3,"HH, CG",2,0,0,0,NA,NA,84.8,42,NA,NA,NA,NA,NA,NA,Least bittern calling >100 meters after survey; no detections,CG,HH
5/13/2022,6:02,Reelfoot,B1,"HH, CG",2,0,0,0,NA,NA,71.4,25,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/13/2022,6:23,Reelfoot,B2,"HH, CG",2,0,1.6,0,NA,NA,70.5,38,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/13/2022,6:46,Reelfoot,B3,"HH, CG",2,0,2,0,NA,NA,71.1,45,NA,NA,NA,NA,NA,NA,Speaker malfunction; started over at minute 8; no detections,CG,HH
5/13/2022,7:24,Reelfoot,C1,"HH, CG",2,0,0,0,NA,NA,75.5,39,LEBI,Least Bittern,4,85.0392,1,A,,CG,HH
5/13/2022,7:44,Reelfoot,C2,"HH, CG",2,0,0,0,NA,NA,76,34,NA,NA,NA,NA,NA,A,No detections,CG,HH
5/13/2022,8:08,Reelfoot,C3,"HH, CG",2,0,1.2,0,NA,NA,78.7,120,NA,NA,NA,NA,NA,B,No detections,CG,HH
5/12/2022,6:31,Reelfoot,D1,"HH, CG",2,3,0,0,NA,NA,74.7,85,AMCO,American Coot,4,75.8952,3,A,,CG,HH
5/12/2022,6:31,Reelfoot,D1,"HH, CG",2,3,0,0,NA,NA,74.7,85,LEBI,Least Bittern,1,76.8096,6,B,,CG,HH
5/12/2022,6:31,Reelfoot,D1,"HH, CG",2,3,0,0,NA,NA,74.7,85,LEBI,Least Bittern,3,27.432,7,A,,CG,HH
5/12/2022,6:10,Reelfoot,D2,"HH, CG",2,3,0,0,NA,NA,74.2,85,LEBI,Least Bittern,5,100,NA,A,Fog,CG,HH
5/12/2022,6:57,Reelfoot,D3,"HH, CG",2,0,0,0,NA,NA,78.2,78,LEBI,Least Bittern,3,41.148,9,A,,CG,HH
5/11/2022,8:24,Reelfoot,E1,"HH, CG",2,0,0,0,NA,NA,77.8,55,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/3/2022,18:00,Hatchie,A1,HH,2,1,0,1,NA,NA,82,17.78,AMCO,American Coot,2,15,5,A,Traffic sound disturbance,CG,HH
5/3/2022,18:00,Hatchie,A1,HH,2,1,0,1,NA,NA,82,17.78,SORA,Sora,1,10,5,A,Traffic sound disturbance,CG,HH
5/3/2022,18:00,Hatchie,A1,HH,2,1,0,1,NA,NA,82,17.78,SORA,Sora,1,10,5,A,Traffic sound disturbance,CG,HH
5/3/2022,17:30,Hatchie,B1,HH,2,1,3.4,0,NA,NA,80.5,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/3/2022,17:49,Hatchie,C1,MB,2,1,4.9,0,NA,NA,78,24,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/3/2022,18:23,Hatchie,D1,MB,2,1,4.8,0,NA,NA,77,37,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/3/2022,18:39,Hatchie,D2,MB,2,1,1.1,0,NA,NA,76,60,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/4/2022,6:10,Tennessee National,A1,MB,2,1,1.4,0,NA,NA,59,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/4/2022,6:13,Tennessee National,A2,HH,2,2,0,0,NA,NA,60.7,0,NA,NA,NA,NA,NA,NA,Dry; no detections,CG,HH
5/4/2022,6:42,Tennessee National,A3,MB,2,1,2.1,0,NA,NA,56,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/4/2022,7:18,Tennessee National,B1,MB,2,2,1.6,0,NA,NA,57,25,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/4/2022,7:26,Tennessee National,B2,HH,2,2,1.2,0,NA,NA,61.8,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/4/2022,7:54,Tennessee National,B3,HH,2,2,1.2,0,NA,NA,61.8,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/3/2022,6:03,Lower Hatchie,A2,HH,2,2,3.7,0,NA,NA,66.2,13.716,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/5/2022,6:15,Bogota,A1,MB,2,1,4.3,0,NA,NA,60,0,NA,NA,NA,NA,NA,NA,ARU was open upon arrival; no detections,CG,HH
5/5/2022,6:39,Bogota,A2,MB,2,1,4.2,0,NA,NA,60,21,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/19/2022,6:05,Tigrett,A1,"HH, CG",3,0,0,0,NA,NA,72,53,LEBI,Least Bittern,4,82.296,8,A,,CG,HH
5/19/2022,5:48,Tigrett,A2,"HH, CG",3,0,0,0,NA,NA,71.5,50,LEBI,Least Bittern,5,100,NA,A,,CG,HH
5/19/2022,6:58,Tigrett,A3,"HH, CG",3,0,0,0,NA,NA,78.4,50,LEBI,Least Bittern,5,100,NA,A,,CG,HH
5/19/2022,8:20,Parker Branch,A1,"HH, CG",3,0,0,0,NA,NA,78.4,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/19/2022,8:41,Parker Branch,A2,"HH, CG",3,0,0.7,0,NA,NA,82,0,SORA,Sora,4,88.6968,8,A,,CG,HH
5/20/2022,5:20,Lower Hatchie,A1,"HH, CG",3,0,3.2,2,NA,NA,74.2,0,NA,NA,NA,NA,NA,NA,Wind sound disturbance; no detections,CG,HH
5/20/2022,5:39,Lower Hatchie,A2,"HH, CG",3,0,6.8,2,NA,NA,75,0,NA,NA,NA,NA,NA,NA,Wind sound disturbance; no detections,CG,HH
5/20/2022,6:05,Lower Hatchie,A3,"HH, CG",3,0,6.8,2,NA,NA,77.7,0,NA,NA,NA,NA,NA,NA,Wind sound disturbance; no detections,CG,HH
5/21/2022,6:16,Bogota,A1,"HH, CG",3,0,3,0,NA,NA,77,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/21/2022,7:00,Bogota,A2,"HH, CG",3,0,0,0,NA,NA,82.9,0,NA,NA,NA,NA,NA,NA,Dry; no detections,CG,HH
5/21/2022,6:42,Bogota,A3,"HH, CG",3,0,0,0,NA,NA,77,0,NA,NA,NA,NA,NA,NA,Dry; no detections,CG,HH
5/20/2022,18:42,Hatchie,A1,"HH, CG",3,0,0,0,NA,NA,86.5,35,SORA,Sora,4,89.6112,10,A,,CG,HH
5/20/2022,17:49,Hatchie,B1,"HH, CG",3,0,0,0,NA,NA,89.2,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/20/2022,20:28,Hatchie,C1,"HH, CG",3,0,1.2,2,NA,NA,81,21,NA,NA,NA,NA,NA,NA,Frog sound disturbance; no detections,CG,HH
5/20/2022,19:21,Hatchie,D1,"HH, CG",3,0,0,0,NA,NA,84.8,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/20/2022,19:40,Hatchie,D2,"HH, CG",3,0,0,0,NA,NA,81,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/24/2022,6:16,Tennessee National,A1,"HH, CG",3,2,0.7,0,NA,NA,67.2,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/24/2022,6:41,Tennessee National,A2,"HH, CG",3,2,0,0,NA,NA,67.5,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/24/2022,7:04,Tennessee National,A3,"HH, CG",3,2,1.3,0,NA,NA,62.8,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/24/2022,7:46,Tennessee National,B1,"HH, CG",3,2,3.9,0,NA,NA,65.2,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/24/2022,8:09,Tennessee National,B2,"HH, CG",3,2,3.7,0,NA,NA,66.5,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/24/2022,8:31,Tennessee National,B3,"HH, CG",3,2,1.7,0,NA,NA,68.8,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/28/2022,19:12,Gooch,A1,"HH, CG",3,1,0,1,NA,NA,64.5,67,NA,NA,NA,NA,NA,NA,Boat sound disruption minute 4; no detections,CG,HH
5/28/2022,18:54,Gooch,A2,"HH, CG",3,1,0,0,NA,NA,64.2,105,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/28/2022,18:29,Gooch,A3,"HH, CG",3,1,0,0,NA,NA,66,125,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/29/2022,5:47,Reelfoot,B1,"HH, CG",3,0,2.4,0,NA,NA,65.3,40,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/29/2022,6:10,Reelfoot,B2,"HH, CG",3,0,3.2,0,NA,NA,67.1,140,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/29/2022,6:33,Reelfoot,B3,"HH, CG",3,0,4.5,0,NA,NA,63.3,158,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/29/2022,7:04,Reelfoot,C1,"HH, CG",3,0,1.5,0,NA,NA,65.5,101,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/29/2022,7:20,Reelfoot,C2,"HH, CG",3,0,1.3,0,NA,NA,65.5,45,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/29/2022,7:38,Reelfoot,C3,"HH, CG",3,0,4.5,0,NA,NA,67.4,131,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/29/2022,8:52,Reelfoot,E1,"HH, CG",3,0,1.7,0,NA,NA,74.1,58,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/30/2022,5:39,Reelfoot,D2,"HH, CG",3,0,1.8,0,NA,NA,69.6,90,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/30/2022,6:15,Reelfoot,D3,"HH, CG",3,0,1.5,0,NA,NA,70.7,165,NA,NA,NA,NA,NA,NA,No detections,CG,HH
5/30/2022,7:27,Reelfoot,A1,"HH, CG",3,0,3.8,1,NA,NA,70.7,81,LEBI,Least Bittern,2,25,7,A,Wind sound disturbance,CG,HH
5/30/2022,7:05,Reelfoot,A2,"HH, CG",3,0,1.8,0,NA,NA,71.1,62,LEBI,Least Bittern,1,5,1,V,Least bittern detected was a male; a least bittern was flushed getting to point,CG,HH
5/30/2022,7:46,Reelfoot,A3,"HH, CG",3,0,2.5,1,NA,NA,74.3,43,NA,NA,NA,NA,NA,NA,Wind sound disturbance; no detections,CG,HH
5/30/2022,5:55,Reelfoot,D1,"HH, CG",3,0,1.5,0,NA,NA,69,120,AMCO,American Coot,2,21,6,A,Abandoned coot nest at point,CG,HH
